,workplaces,workplaces,Israel
,median,mean,
date,,,
2020-02-15,0.01,0.005428571428571429,0.01
2020-02-16,-0.01,-0.005714285714285713,0.01
2020-02-17,-0.02,-0.038,0.01
2020-02-18,-0.01,-0.02085714285714286,0.01
2020-02-19,0.0,-0.021428571428571432,0.0
2020-02-20,0.0,-0.027142857142857142,0.01
2020-02-21,-0.03,-0.03428571428571429,0.04
2020-02-22,0.0,0.0011428571428571427,0.0
2020-02-23,0.0,-0.001142857142857142,0.01
2020-02-24,-0.02,-0.06171428571428571,-0.01
2020-02-25,0.0,-0.03942857142857143,-0.01
2020-02-26,0.0,-0.01942857142857143,0.01
2020-02-27,0.0,-0.018,0.01
2020-02-28,0.0,-0.02085714285714286,0.04
2020-02-29,0.01,0.006285714285714286,0.01
2020-03-01,0.01,0.005428571428571428,0.0
2020-03-02,0.01,-0.01857142857142857,-0.68
2020-03-03,0.02,0.02142857142857143,0.03
2020-03-04,0.02,0.018285714285714287,0.02
2020-03-05,0.02,0.015714285714285715,0.01
2020-03-06,0.01,0.014857142857142852,0.03
2020-03-07,0.02,0.014000000000000002,0.06
2020-03-08,0.01,0.006,0.0
2020-03-09,0.0,-0.0011428571428571414,-0.15
2020-03-10,0.0,-0.0025714285714285687,-0.35
2020-03-11,-0.01,-0.036000000000000004,-0.2
2020-03-12,-0.03,-0.038,-0.03
2020-03-13,-0.1,-0.11114285714285711,-0.25
2020-03-14,-0.07,-0.09914285714285714,-0.07
2020-03-15,-0.12,-0.15457142857142864,-0.33
2020-03-16,-0.36,-0.29057142857142854,-0.37
2020-03-17,-0.39,-0.3534285714285715,-0.41
2020-03-18,-0.41,-0.38199999999999995,-0.5
2020-03-19,-0.46,-0.4097142857142857,-0.52
2020-03-20,-0.45,-0.43,-0.55
2020-03-21,-0.32,-0.32428571428571434,-0.41
2020-03-22,-0.34,-0.3454285714285714,-0.55
2020-03-23,-0.46,-0.44914285714285707,-0.55
2020-03-24,-0.51,-0.4837142857142856,-0.56
2020-03-25,-0.51,-0.5034285714285712,-0.57
2020-03-26,-0.52,-0.5097142857142857,-0.59
2020-03-27,-0.5,-0.5057142857142857,-0.59
2020-03-28,-0.34,-0.386857142857143,-0.46
2020-03-29,-0.39,-0.40485714285714286,-0.59
2020-03-30,-0.51,-0.5154285714285715,-0.6
2020-03-31,-0.51,-0.5222857142857141,-0.6
2020-04-01,-0.51,-0.5237142857142858,-0.61
2020-04-02,-0.51,-0.5282857142857144,-0.6
2020-04-03,-0.5,-0.5200000000000001,-0.57
2020-04-04,-0.37,-0.3922857142857143,-0.42
2020-04-05,-0.4,-0.39314285714285707,-0.6
2020-04-06,-0.51,-0.5242857142857144,-0.6
2020-04-07,-0.52,-0.532,-0.62
2020-04-08,-0.53,-0.5405714285714287,-0.84
2020-04-09,-0.55,-0.5725714285714285,-0.92
2020-04-10,-0.77,-0.6982857142857143,-0.63
2020-04-11,-0.45,-0.42771428571428577,-0.45
2020-04-12,-0.43,-0.43028571428571427,-0.68
2020-04-13,-0.84,-0.7397142857142858,-0.68
2020-04-14,-0.5,-0.5208571428571428,-0.78
2020-04-15,-0.5,-0.5317142857142857,-0.9
2020-04-16,-0.49,-0.508,-0.6
2020-04-17,-0.48,-0.5017142857142858,-0.52
2020-04-18,-0.32,-0.3454285714285714,-0.35
2020-04-19,-0.34,-0.3597142857142857,-0.54
2020-04-20,-0.47,-0.4857142857142857,-0.53
2020-04-21,-0.47,-0.47914285714285726,-0.52
2020-04-22,-0.47,-0.47371428571428575,-0.51
2020-04-23,-0.47,-0.4854285714285715,-0.5
2020-04-24,-0.47,-0.47714285714285715,-0.47
2020-04-25,-0.31,-0.3339999999999999,-0.31
2020-04-26,-0.33,-0.3217142857142858,-0.48
2020-04-27,-0.45,-0.4779999999999999,-0.48
2020-04-28,-0.46,-0.45657142857142863,-0.62
2020-04-29,-0.46,-0.4722857142857143,-0.88
2020-04-30,-0.46,-0.46971428571428586,-0.46
2020-05-01,-0.78,-0.6934285714285715,-0.4
2020-05-02,-0.29,-0.3177142857142857,-0.23
2020-05-03,-0.3,-0.2788571428571429,-0.4
2020-05-04,-0.41,-0.45085714285714273,-0.39
2020-05-05,-0.41,-0.4491428571428571,-0.38
2020-05-06,-0.4,-0.4185714285714286,-0.36
2020-05-07,-0.39,-0.4054285714285714,-0.35
2020-05-08,-0.4,-0.4440000000000001,-0.34
2020-05-09,-0.2,-0.22971428571428573,-0.15
2020-05-10,-0.18,-0.20000000000000004,-0.31
2020-05-11,-0.36,-0.37514285714285717,-0.3
2020-05-12,-0.38,-0.3754285714285714,-0.36
2020-05-13,-0.37,-0.36828571428571427,-0.29
